source,source_id,target,target_id
annaleise03_astoria,27891464671,leigh_astoria,44694314032
annaleise03_astoria,27891464671,ashley_astoria,25221862715
annaleise03_astoria,27891464671,curtney_astoria,29317823774
annaleise03_astoria,27891464671,arya12_astoria,11766344336
annaleise03_astoria,27891464671,georgina_astoria,23234670724
annaleise03_astoria,27891464671,genevieve_astoria,25314864229
annaleise03_astoria,27891464671,brittany_astoria,19991642422
annaleise03_astoria,27891464671,shaby09_vincere,34390634042
annaleise03_astoria,27891464671,shaby05_vincere,33436920731
annaleise03_astoria,27891464671,giovvanimilan_rayler,32474658710
annaleise03_astoria,27891464671,kenzie_astoria,25268847879
annaleise03_astoria,27891464671,cristy_vincere,31991584903
annaleise03_astoria,27891464671,natalie_astoria,19560127458
annaleise03_astoria,27891464671,vincere_jeneth7,36495515831
annaleise03_astoria,27891464671,aesthelish_eunice10,35126695744
annaleise03_astoria,27891464671,marymay21_vincere,4000582625
annaleise03_astoria,27891464671,cristy3_vincere,29667890125
annaleise03_astoria,27891464671,cate4_vincere,3899759637
annaleise03_astoria,27891464671,cathy1_vincere,6735140013
annaleise03_astoria,27891464671,phoebe_astoria,27862612759
riley1.astoria,34203026633,cercles_jen1,44591593529
riley1.astoria,34203026633,ally_astoria,10139476809
riley1.astoria,34203026633,amira_astoria,34563525025
riley1.astoria,34203026633,daphne_astoria,8285535584
riley1.astoria,34203026633,pierrearden_team_holder,37390440177
riley1.astoria,34203026633,cassandra_astoria,10001749532
riley1.astoria,34203026633,alona_astoria,10108062827
riley1.astoria,34203026633,alma_astoria,37108958286
riley1.astoria,34203026633,georgina_astoria,23234670724
riley1.astoria,34203026633,swayvintage_joejen4,6827584770
riley1.astoria,34203026633,keila_astoria,34012672836
riley1.astoria,34203026633,brielle_astoria,34176566572
riley1.astoria,34203026633,ambher_astoria,32817495587
riley1.astoria,34203026633,brittany_astoria,19991642422
riley1.astoria,34203026633,salvatorefranco_team_jordick,33000111032
riley1.astoria,34203026633,pierrearden_team_caiden,38417076544
riley1.astoria,34203026633,giovvanimilan_rayler,32474658710
riley1.astoria,34203026633,pierrearden_team_parker,37742549390
riley1.astoria,34203026633,vincere_danielle01,36519720548
riley1.astoria,34203026633,vincere_danielle07,36328001098
riley1.astoria,34203026633,vansla_jen2,26561602922
riley1.astoria,34203026633,vincere_0002,38982162960
riley1.astoria,34203026633,vincere_cath14,33004936229
riley1.astoria,34203026633,vincere_julie02,36559056067
riley1.astoria,34203026633,natalie_astoria,19560127458
riley1.astoria,34203026633,vincere_marj02,36358354142
riley1.astoria,34203026633,arlyn2_vincere,34364612908
riley1.astoria,34203026633,vincere_danielle06,36099854086
riley1.astoria,34203026633,vincere_danielle08,36494759902
riley1.astoria,34203026633,vincere_cath10,32565228807
riley1.astoria,34203026633,vincere_danielle04,36101974053
riley1.astoria,34203026633,vincere_cath03,6734958344
riley1.astoria,34203026633,vincere_cath15,33371083129
riley1.astoria,34203026633,pierrearden_team_spike,37926439241
riley1.astoria,34203026633,stacy8_vincere,34598760065
riley1.astoria,34203026633,amanscloset_captivating,6760229954
riley1.astoria,34203026633,vincere_reagan19,34353687642
riley1.astoria,34203026633,vincere_marjz001,34381850754
riley1.astoria,34203026633,vincere_cath02,6733342734
riley1.astoria,34203026633,vincere_0003,38588953471
riley1.astoria,34203026633,myra09_vincere,34382692439
riley1.astoria,34203026633,arlyn3_vincere,34013506102
riley1.astoria,34203026633,naomi_astoria,4080389723
scarlet06_astoria,4080192245,leigh_astoria,44694314032
scarlet06_astoria,4080192245,aureoparis.cora,6747531304
scarlet06_astoria,4080192245,jazz_astoria,28351307654
scarlet06_astoria,4080192245,daphne_astoria,8285535584
scarlet06_astoria,4080192245,zezeniypalp,32647449935
scarlet06_astoria,4080192245,ashley_astoria,25221862715
scarlet06_astoria,4080192245,georgina_astoria,23234670724
scarlet06_astoria,4080192245,keila_astoria,34012672836
scarlet06_astoria,4080192245,brielle_astoria,34176566572
scarlet06_astoria,4080192245,ambher_astoria,32817495587
scarlet06_astoria,4080192245,vincere_dy12,6741562327
scarlet06_astoria,4080192245,belizza_ivy,6868002167
scarlet06_astoria,4080192245,charisse_vincere,6776941826
scarlet06_astoria,4080192245,vincere_cath14,33004936229
scarlet06_astoria,4080192245,vincere_julie02,36559056067
scarlet06_astoria,4080192245,vincere_marj02,36358354142
scarlet06_astoria,4080192245,vincere_dyna11,6759947130
scarlet06_astoria,4080192245,vincere_cath06,32920281097
scarlet06_astoria,4080192245,vincere_danielle06,36099854086
scarlet06_astoria,4080192245,brousedfitness.sushmita10,36104141566
scarlet06_astoria,4080192245,freya_astoria,8287213255
scarlet06_astoria,4080192245,vinceremarjz11,40217209348
scarlet06_astoria,4080192245,brousedfitness.melody1,45138800160
scarlet06_astoria,4080192245,vincere_leah11,6778447372
scarlet06_astoria,4080192245,kate03_vincere,6695377365
scarlet06_astoria,4080192245,johnralph_vincere,24293521732
scarlet06_astoria,4080192245,vincere_cath02,6733342734
scarlet06_astoria,4080192245,kate05_vincere,28001827797
scarlet06_astoria,4080192245,kate01_vincere,8502466337
scarlet06_astoria,4080192245,malou12_vincere,7153336844
scarlet06_astoria,4080192245,maeanne08_vincere,28977058335
scarlet06_astoria,4080192245,vincere_jeneth0011,36964008233
scarlet06_astoria,4080192245,naomi_astoria,4080389723
scarlet06_astoria,4080192245,vincere_jeneth0010,32549838520
scarlet06_astoria,4080192245,freya_astoria,8287213255
scarlet06_astoria,4080192245,vincere_jeneth0010,32549838520
marie_astoria,30880861903,cercles_nikki2,5392858162
